islands,star,bistar,singletons
48.83545222,41.29961504,47.58994484,37.87628714
48.83545222,41.29961504,47.58994484,37.8804538
49.04582709,41.29961504,47.66570242,37.99466973
49.04582709,41.46628171,47.66570242,38.00223243
49.04582709,41.46628171,47.67076167,38.00223243
49.07255869,41.52046323,47.67076167,38.00223243
49.07255869,41.52046323,47.67076167,38.00223243
49.07255869,41.52046323,47.67076167,38.00223243
49.17896956,41.52046323,47.70146343,38.00223243
49.17896956,41.52046323,48.16717998,38.00223243
49.17896956,41.52046323,48.21696041,38.24609777
49.17896956,41.52046323,48.2210206,38.16889909
49.23394416,41.52046323,48.2247883,38.16889909
49.33839625,43.44831131,48.22659989,38.16889909
49.33839625,43.44831131,48.22659989,38.16889909
49.41685779,43.63432506,48.22659989,38.16889909
49.50506291,43.61664464,48.22659989,38.16889909
49.50506291,43.63290056,48.22659989,38.16889909
50.15076798,43.63290056,48.22659989,38.64241749
50.15076798,43.61664464,48.22659989,38.64241749
50.15076798,43.61664464,48.22659989,38.64241749
50.15076798,43.61664464,48.29361454,38.64241749
50.94582354,43.61664464,48.29361454,38.65778798
50.94582354,43.76545417,48.29361454,38.66452575
50.94582354,43.61664464,48.29361454,38.66452575
50.94582354,43.61664464,48.3036323,38.66452575
51.67919793,43.61664464,48.3036323,38.67563686
51.67919793,43.61664464,48.62319929,38.6920695
51.67919793,43.61664464,48.62680679,38.69349401
51.70134079,43.61664464,48.62680679,38.69349401
51.70134079,43.61664464,48.62680679,38.69349401
51.70134079,43.61664464,48.62680679,38.69349401
52.21034845,43.61664464,48.62680679,38.69349401
52.21034845,44.39560641,48.62680679,38.69349401
52.21034845,44.39560641,48.79247864,38.69349401
52.29282963,44.39560641,48.79247864,38.69349401
52.29282963,44.39560641,48.79247864,38.69349401
52.29282963,44.41203371,48.79247864,38.69349401
52.29282963,44.41300151,48.7988889,38.69349401
52.29282963,44.41300151,48.80021165,38.69349401
52.29282963,44.67966818,48.80021165,38.69349401
52.29282963,44.67966818,48.80021165,38.69349401
