n,islands
717,14.8528319215
718,14.8019652961
719,14.8031260983
720,14.864659997
721,14.8600223366
722,14.8280896331
723,14.8419305213
724,14.8088842882
725,14.8639764337
726,14.8305290091
727,14.8384275767
728,14.8590106469
729,14.8642535674
730,14.8639470538
731,14.8448958922
732,14.8550985798
733,14.8636910658
734,14.8630162928
735,14.8575906062
736,14.8648186347
737,14.4486757764
738,14.8647466438
739,14.8645868294
740,14.7420369944
741,14.8492044083
742,14.8564010685
743,14.8641483045
744,14.8628872281
745,14.6766955527
746,14.8634378436
747,14.8637542141
748,14.8632574789
749,14.8586967299
750,14.8542318115
751,14.8503536831
752,14.8607558966
753,14.8387123403
754,14.816323535
755,14.8633587582
756,14.8646472064
757,14.8513626112
758,14.8641668935
759,14.8629814482
760,14.8296879344
761,14.864520832
762,14.8627194125
763,14.8554004882
764,14.8642223043
765,14.853808142
766,14.7618550204
767,14.8625817345
768,14.8169463836
769,14.8457295205
770,14.8646527852
771,14.8646946061
772,14.8646511635
773,14.8598909503
774,14.8557754793
775,14.8396476014
776,14.8646599993
777,14.8625694618
778,14.8630391707
779,14.7813003833
780,14.7536914429
781,14.7453622895
782,14.7819503197
783,14.8522712841
784,14.7824413789
785,14.8528698097
786,14.8631871638
787,14.8567117771
788,14.8647001661
789,14.2710241202
790,14.8642698638
791,14.8072498498
792,14.8032528091
793,14.8648173558
794,14.5860210337
795,14.7708424237
796,14.8315994877
797,14.8446642679
798,14.8573925535
799,14.8403595015
800,14.7986742832
801,14.8563411836
802,14.8323996338
803,14.8647602251
804,14.8646569665
805,14.8005008268
806,14.7986100702
807,14.7856256288
808,14.6368341931
809,14.8480947925
810,14.7660680382
811,14.8434217819
812,14.8561590093
813,14.7735441292
814,14.8396784452
815,14.8450074013
816,14.8562425427
817,14.7072028072
818,14.8538801031
819,14.1992632737
820,14.861709489
821,14.8633307168
822,14.8500195561
823,14.8319806604
824,14.6764872732
825,14.7195427021
826,14.8635701535
827,14.6169282453
828,14.84762333
829,14.8638677917
830,14.8626729934
831,14.785716629
832,14.8644563358
833,14.7610238529
834,14.8635562349
835,14.5828019861
836,14.8406381843
837,14.3353301697
838,14.8556254008
839,14.7414756617
840,14.8587389492
841,14.8640324486
842,14.8648100528
843,14.8071093876
844,14.8061818593
845,14.8535949473
846,14.8605582067
847,14.8104296113
848,14.787778457
849,14.8264506522
850,14.5324986356
851,14.8643781763
852,14.8563767164
853,14.7010523868
854,14.8559967049
855,14.8635250517
856,14.8451741324
857,14.7715717563
858,14.8643956975
859,14.7385498819
860,14.8309911172
861,14.8644044675
862,14.7251529018
863,14.8556064683
864,14.5123309032
865,14.4252229351
866,14.8559853002
867,14.8570408098
868,14.7528918602
869,14.8341389421
870,14.7998680112
871,14.7520943354
872,14.6950196407
873,14.7919624155
874,14.8585611545
875,14.833430012
876,14.7735258478
877,14.8425170967
878,14.8395724988
879,14.7998654609
880,14.7771064691
881,13.8913384557
882,14.447739289
883,14.6618337696
884,14.8518198179
885,14.7891319082
886,14.8576705437
887,14.7155771795
888,14.8625296596
889,14.5488634998
890,14.6261779124
891,14.7977053248
892,14.8126632181
893,14.6382243181
894,14.8498071571
895,14.5861364943
896,14.8556213777
897,14.7866907119
898,14.8450336731
899,14.8309948577
900,13.3093171608
901,14.7755673172
902,14.8555622004
903,14.8520843441
904,14.7916390302
905,14.8622220748
906,14.858722407
907,14.8639455407
908,14.732952522
909,14.7450960411
910,14.6936540826
911,14.8617324089
912,14.8164208515
913,14.8293365226
914,14.7471707817
915,14.4754487868
916,14.8012062249
917,14.4279612064
918,14.8615909359
919,14.8643205969
920,14.8542246868
921,14.8642905334
922,14.6613113205
923,14.863830614
924,14.8187563103
925,14.4997579596
926,14.8632419038
927,14.841589066
928,14.8462828059
929,14.8485756171
930,14.864758807
931,14.8451068927
932,14.8599328737
933,14.8108053863
934,14.8198777461
935,14.1730455441
936,14.8613991451
937,14.8231066399
938,14.8285422022
939,14.8447734708
940,14.8632258881
941,14.8526346094
942,14.8613987913
943,14.7891582765
944,14.8344427354
945,14.8336560948
946,14.8646958731
947,14.8619821802
948,14.8076125442
949,14.8620807945
950,14.8615588213
951,14.7826073868
952,13.4148231622
953,14.5887971011
954,13.3968303137
955,14.7848293237
956,14.3120982425
957,14.8401579506
958,14.7666036464
959,14.8539780287
960,14.4127797309
961,14.8615524757
962,14.7481750706
963,14.8520165683
964,14.5727103209
965,14.8576186717
966,14.7708193673
967,14.8600472498
968,14.6567258283
969,14.8382594031
970,14.8628074718
971,14.6991952247
972,14.5900806475
973,14.8561259318
974,14.8500423088
975,14.8635476156
976,14.6779486124
977,14.8647477106
978,14.817000643
979,14.8625284786
980,14.4817875601
981,14.8628600458
982,14.8087421958
983,14.5248652262
984,14.8607334728
985,14.8505219254
986,14.0230820412
987,14.7658880723
988,14.8646819865
989,14.8586119849
990,14.8063176331
991,14.8642033427
992,14.8405325607
993,14.8627518299
994,14.8128123786
995,14.827871853
996,14.6194889092
997,14.849860448
998,14.7853370366
999,14.6745150036
